FileName,FunctionName,LoopNumber,LoopNestDepth,ExitBranchCount,InstCount,ArrayAccessCount,ComparisonToZeroCount,ComparisonToConstantCount,IntCmpCount,FloatCmpCount,DoubleCmpCount,PointerCmpCount,NullPointerCmpCount,MemAccessCount,ExpressionCount,IfStmtCount,FunctionCallCount,AssignmentCount,MinArrSize,MaxArrSize,NumNodes,CyclomaticComplexity,AddInstCount,AllocaInstCount,AndInstCount,OrInstCount,BitcastInstCount,BranchInstCount,DivisionInstCount,FMulInstCount,MulInstCount,LoadInstCount,PhiInstCount,StoreInstCount,SubInstCount,ExitCounterValue,MaxLiveVars,HasTrip,TripCount
test.c,warmup,0,1,1,64,27,0,1,1,0,0,0,0,27,10,0,0,9,0,0,3,2,1,0,0,0,0,3,0,8,0,18,0,9,0,-1,49,1,32768
test.c,compute_heavy_math,0,1,1,131,58,0,2,2,0,0,0,0,58,10,1,12,11,0,0,7,3,2,0,0,0,0,7,0,2,0,47,0,11,0,-1,109,1,16
test.c,compute_heavy_math,1,2,1,121,54,0,1,1,0,0,0,0,54,8,0,12,9,0,0,3,2,1,0,0,0,0,3,0,2,0,45,0,9,0,-1,109,1,32768
